state,type,crimes,Year
Johor,theft_vehicle_motorcar,16,2022
Johor,theft_vehicle_motorcar,13,2023
Johor,theft_vehicle_motorcycle,257,2016
Johor,theft_vehicle_motorcycle,287,2017
Johor,theft_vehicle_motorcycle,225,2018
Johor,theft_vehicle_motorcycle,208,2019
Johor,theft_vehicle_motorcycle,121,2020
Johor,theft_vehicle_motorcycle,59,2021
Johor,theft_vehicle_motorcycle,76,2022
Johor,theft_vehicle_motorcycle,68,2023
Johor,causing_injury,0,2016
Johor,causing_injury,54,2017
Johor,causing_injury,61,2018
Johor,causing_injury,46,2019
Johor,causing_injury,23,2020
Johor,causing_injury,20,2021
Johor,causing_injury,30,2022
Johor,causing_injury,45,2023
Johor,murder,0,2016
Johor,murder,4,2017
Johor,murder,4,2018
Johor,murder,4,2019
Johor,murder,3,2020
Johor,murder,2,2021
Johor,murder,3,2022
Johor,murder,0,2023
Johor,rape,0,2016
Johor,rape,9,2017
Johor,rape,13,2018
Johor,rape,16,2019
Johor,rape,9,2020
Johor,rape,4,2021
Johor,rape,9,2022
Johor,rape,7,2023
Johor,robbery_gang_armed,0,2016
Johor,robbery_gang_armed,0,2017
Johor,robbery_gang_armed,0,2018
Johor,robbery_gang_armed,0,2019
Johor,robbery_gang_armed,0,2020
Johor,robbery_gang_armed,1,2021
Johor,robbery_gang_armed,0,2022
Johor,robbery_gang_armed,0,2023
Johor,robbery_gang_unarmed,0,2016
Johor,robbery_gang_unarmed,102,2017
Johor,robbery_gang_unarmed,53,2018
Johor,robbery_gang_unarmed,74,2019
Johor,robbery_gang_unarmed,17,2020
Johor,robbery_gang_unarmed,31,2021
Johor,robbery_gang_unarmed,21,2022
Johor,robbery_gang_unarmed,52,2023
Johor,robbery_solo_armed,0,2020
Johor,robbery_solo_armed,0,2021
Johor,robbery_solo_armed,0,2022
Johor,robbery_solo_armed,0,2023
Johor,robbery_solo_armed,0,2020
Johor,robbery_solo_armed,0,2021
Johor,robbery_solo_armed,0,2022
Johor,robbery_solo_armed,0,2023
Johor,robbery_solo_unarmed,0,2016
Johor,robbery_solo_unarmed,26,2017
Johor,robbery_solo_unarmed,18,2018
Johor,robbery_solo_unarmed,30,2019
Johor,robbery_solo_unarmed,44,2016
Johor,robbery_solo_unarmed,10,2017
Johor,robbery_solo_unarmed,17,2018
Johor,robbery_solo_unarmed,19,2019
Johor,break_in,0,2016
Johor,break_in,92,2017
Johor,break_in,47,2018
Johor,break_in,76,2019
Johor,break_in,77,2020
Johor,break_in,68,2021
Johor,break_in,77,2022
Johor,break_in,103,2023
Johor,theft_other,0,2016
Johor,theft_other,151,2017
Johor,theft_other,176,2018
Johor,theft_other,228,2019
Johor,theft_other,156,2020
Johor,theft_other,114,2021
Johor,theft_other,125,2022
Johor,theft_other,205,2023
Johor,theft_vehicle_lorry,0,2016
Johor,theft_vehicle_lorry,17,2017
Johor,theft_vehicle_lorry,20,2018
Johor,theft_vehicle_lorry,36,2019
Johor,theft_vehicle_lorry,11,2020
Johor,theft_vehicle_lorry,6,2021
Johor,theft_vehicle_lorry,5,2022
Johor,theft_vehicle_lorry,7,2023
Johor,theft_vehicle_motorcar,0,2016
Johor,theft_vehicle_motorcar,130,2017
Johor,theft_vehicle_motorcar,138,2018
Johor,theft_vehicle_motorcar,131,2019
Johor,theft_vehicle_motorcar,122,2020
Johor,theft_vehicle_motorcar,56,2021
Johor,theft_vehicle_motorcar,54,2022
Johor,theft_vehicle_motorcar,44,2023
Johor,theft_vehicle_motorcycle,0,2016
Johor,theft_vehicle_motorcycle,337,2017
Johor,theft_vehicle_motorcycle,403,2018
Johor,theft_vehicle_motorcycle,313,2019
Johor,theft_vehicle_motorcycle,172,2020
Johor,theft_vehicle_motorcycle,88,2021
Johor,theft_vehicle_motorcycle,95,2022
Johor,theft_vehicle_motorcycle,89,2023
Johor,causing_injury,200,2016
Johor,causing_injury,170,2017
Johor,causing_injury,115,2018
Johor,causing_injury,126,2019
Johor,causing_injury,67,2020
Johor,causing_injury,62,2021
Johor,causing_injury,45,2022
Johor,causing_injury,46,2023
Johor,murder,15,2016
Johor,murder,23,2017
Johor,murder,9,2018
Johor,murder,10,2019
Johor,murder,4,2020
Johor,murder,5,2021
Johor,murder,7,2022
Johor,murder,8,2023
Johor,rape,42,2016
Johor,rape,28,2017
Johor,rape,24,2018
Johor,rape,27,2019
Johor,rape,17,2020
Johor,rape,17,2021
Johor,rape,26,2022
Johor,rape,20,2023
Johor,robbery_gang_armed,5,2016
Johor,robbery_gang_armed,0,2017
Johor,robbery_gang_armed,1,2018
Johor,robbery_gang_armed,0,2019
Johor,robbery_gang_armed,0,2020
Johor,robbery_gang_armed,0,2021
Johor,robbery_gang_armed,0,2022
Johor,robbery_gang_armed,0,2023
Johor,robbery_gang_unarmed,506,2016
Johor,robbery_gang_unarmed,528,2017
Johor,robbery_gang_unarmed,217,2018
Johor,robbery_gang_unarmed,192,2019
Johor,robbery_gang_unarmed,44,2020
Johor,robbery_gang_unarmed,39,2021
Johor,robbery_gang_unarmed,68,2022
Johor,robbery_gang_unarmed,90,2023
Johor,robbery_solo_armed,2,2016
Johor,robbery_solo_armed,0,2017
Johor,robbery_solo_armed,0,2018
Johor,robbery_solo_armed,1,2019
Johor,robbery_solo_armed,0,2020
Johor,robbery_solo_armed,0,2021
Johor,robbery_solo_armed,0,2022
Johor,robbery_solo_armed,0,2023
Johor,robbery_solo_unarmed,207,2016
Johor,robbery_solo_unarmed,207,2017
Johor,robbery_solo_unarmed,108,2018
Johor,robbery_solo_unarmed,73,2019
Johor,robbery_solo_unarmed,94,2020
Johor,robbery_solo_unarmed,27,2021
Johor,robbery_solo_unarmed,67,2022
Johor,robbery_solo_unarmed,88,2023
Johor,break_in,432,2016
Johor,break_in,263,2017
Johor,break_in,220,2018
Johor,break_in,283,2019
Johor,break_in,287,2020
Johor,break_in,191,2021
Johor,break_in,154,2022
Johor,break_in,173,2023
Johor,theft_other,658,2016
Johor,theft_other,658,2017
